date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD)
2021-06-08,149.193088,161.92,151.551872,164.48,133.501646,144.89,148.004482,160.63,1417289.87647,1417289.87647
2021-06-07,162.553388,176.42,167.897508,182.22,147.65435,160.25,149.22073,161.95,1035822.82509,1035822.82509
2021-06-06,159.35613,172.95,165.815144,179.96,158.499228,172.02,162.544174,176.41,677386.36378,677386.36378
2021-06-05,164.433044,178.46,170.910486,185.49,154.168648,167.32,159.346916,172.94,846082.98073,846082.98073
2021-06-04,178.309328,193.52,178.576534,193.81,155.67053,168.95,164.414616,178.44,1130262.18071,1130262.18071
2021-06-03,172.467652,187.18,182.234492,197.78,167.64873,181.95,178.2909,193.5,1079806.82442,1079806.82442
2021-06-02,168.66227,183.05,176.300676,191.34,164.257978,178.27,172.430796,187.14,976844.03214,976844.03214
2021-06-01,173.232414,188.01,177.977624,193.16,162.000548,175.82,168.606986,182.99,1081241.44408,1081241.44408
2021-05-31,157.080272,170.48,173.6839,188.5,150.6489,163.5,173.195558,187.97,1242054.05369,1242054.05369
2021-05-30,151.146456,164.04,166.86554,181.1,142.918354,155.11,157.107914,170.51,1123365.50693,1123365.50693
2021-05-29,163.36422,177.3,173.858966,188.69,145.25871,157.65,151.118814,164.01,1554075.0432,1554075.0432
2021-05-28,179.037234,194.31,183.248032,198.88,152.4917,165.5,163.391862,177.33,2118247.13851,2118247.13851
2021-05-27,183.284888,198.92,192.5726,209.0,166.211346,180.39,179.046448,194.32,1457775.38448,1457775.38448
2021-05-26,169.436246,183.89,188.085382,204.13,165.317588,179.42,183.275674,198.91,1540975.47323,1540975.47323
2021-05-25,170.753848,185.32,179.313654,194.61,154.01201,167.15,169.316464,183.76,1974384.43463,1974384.43463
2021-05-24,131.317928,142.52,170.799918,185.37,128.572156,139.54,170.753848,185.32,2491240.93285,2491240.93285
2021-05-23,155.99302,169.3,162.405964,176.26,108.752842,118.03,131.198146,142.39,3854006.12408,3854006.12408
2021-05-22,165.824358,179.97,169.943016,184.44,148.907454,161.61,156.011448,169.32,1983438.52337,1983438.52337
2021-05-21,194.102124,210.66,201.897168,219.12,144.254384,156.56,165.824358,179.97,2998819.79591,2998819.79591
2021-05-20,171.666034,186.31,207.315,225.0,153.36703,166.45,194.175836,210.74,4269465.92695,4269465.92695
2021-05-19,270.873172,293.98,276.705634,300.31,135.4458,147.0,171.315902,185.93,6731555.34383,6731555.34383
2021-05-18,259.263532,281.38,292.977558,317.97,256.444048,278.32,270.873172,293.98,2558765.69804,2558765.69804
2021-05-17,272.633046,295.89,273.047676,296.34,240.734178,261.27,259.401742,281.53,2079261.84526,2079261.84526
2021-05-16,276.622708,300.22,298.48753,323.95,257.678724,279.66,272.633046,295.89,1693568.12752,1693568.12752
2021-05-15,300.597536,326.24,305.9048,332.0,272.891038,296.17,276.69642,300.3,1486176.50537,1486176.50537
2021-05-14,292.95913,317.95,312.21639,338.85,283.754344,307.96,300.588322,326.23,1482325.51445,1482325.51445
2021-05-13,286.00256,310.4,306.577422,332.73,268.1274,291.0,292.95913,317.95,2979065.55728,2979065.55728
2021-05-12,348.10492,377.8,363.372518,394.37,277.3414,301.0,286.00256,310.4,2537826.91562,2537826.91562
2021-05-11,330.718102,358.93,349.874008,379.72,317.883,345.0,347.92064,377.6,2031121.35038,2031121.35038
2021-05-10,357.291278,387.77,380.989686,413.49,307.452752,333.68,330.681246,358.89,3830553.73813,3830553.73813
2021-05-09,319.882438,347.17,358.4246,389.0,307.296114,333.51,357.31892,387.8,2292100.05852,2292100.05852
2021-05-08,317.781646,344.89,328.644952,356.68,307.7476,334.0,319.81794,347.1,1327716.1907,1327716.1907
2021-05-07,326.654728,354.52,345.0643,374.5,307.130262,333.33,317.781646,344.89,2822668.46597,2822668.46597
2021-05-06,328.046042,356.03,336.246502,364.93,293.0052,318.0,326.792938,354.67,2752093.00755,2752093.00755
2021-05-05,281.248136,305.24,331.704,360.0,276.899128,300.52,328.055256,356.04,3748897.98686,3748897.98686
2021-05-04,271.564222,294.73,301.924352,327.68,248.778,270.0,281.238922,305.23,3939316.56899,3939316.56899
2021-05-03,247.699962,268.83,276.162008,299.72,247.340616,268.44,271.693218,294.87,1427253.57143,1427253.57143
2021-05-02,255.015878,276.77,255.660858,277.47,243.89458,264.7,247.746032,268.88,656429.21428,656429.21428
2021-05-01,249.828396,271.14,256.683612,278.58,245.00026,265.9,255.025092,276.78,759685.23196,759685.23196
2021-04-30,235.242634,255.31,252.076612,273.58,232.754854,252.61,249.819182,271.13,1037748.69625,1037748.69625
2021-04-29,238.1819,258.5,242.226846,262.89,228.654624,248.16,235.242634,255.31,877558.7853,877558.7853
2021-04-28,239.352078,259.77,245.958516,266.94,228.120212,247.58,238.191114,258.51,1014038.43734,1014038.43734
2021-04-27,227.95436,247.4,242.46641,263.15,224.480682,243.63,239.352078,259.77,1114182.69248,1114182.69248
2021-04-26,206.30146,223.9,228.69148,248.2,203.850536,221.24,227.972788,247.42,1236470.27391,1236470.27391
2021-04-25,207.093864,224.76,217.26612,235.8,194.166622,210.73,206.283032,223.88,928460.2198,928460.2198
2021-04-24,222.343034,241.31,222.435174,241.41,203.021276,220.34,207.08465,224.75,1152968.01885,1152968.01885
2021-04-23,232.74564,252.6,236.93801,257.15,190.628446,206.89,222.343034,241.31,2866031.89172,2866031.89172
2021-04-22,237.380282,257.63,266.846654,289.61,220.2146,239.0,232.6535,252.5,2858792.51437,2858792.51437
2021-04-21,240.236622,260.73,255.2278,277.0,231.04105,250.75,237.435566,257.69,1841080.20554,1841080.20554
